conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,cosmetisch scheikundige,released,research and development chemist | R&D chemist | formulation development chemist | development chemist | cosmetica-ontwikkelaar | formulemaker-colorist in de cosmetische industrie | operator cosmetische industrie,"Cosmetische scheikundigen ontwikkelen formules om nieuwe cosmetische producten te creëren en te testen en bestaande cosmetische producten zoals parfums en geurstoffen, lippenstift, waterwerende lotions en make-up, haarverf, zepen en reinigingsmiddelen met bijzondere eigenschappen, topische geneesmiddelen of gezondheidssupplementen te verbeteren.",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,scheikundige
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,milieuwetenschapper,released,wetenschappelijk onderzoekster milieu | wetenschappelijk onderzoekster leefmilieu | onderzoekster landbouw en leefmilieu | wetenschappelijk onderzoeker leefmilieu | wetenschappelijk onderzoeker milieu | onderzoeker landbouw en leefmilieu | specialist leefmilieu,"Milieuwetenschappers stellen problemen vast en vinden oplossingen om de gevaren voor het milieu tot een minimum te beperken door analyses te verrichten van monsters van bijvoorbeeld lucht, water of bodem. Zij adviseren over of ontwikkelen milieubeleid en zijn erop gericht de watervoorziening te verbeteren en afvalverwerkingsinstallaties te beheren. Milieuwetenschappers voeren milieurisicobeoordelingen uit en analyseren de milieueffecten van nieuwe oplossingen, bouwlocaties of veranderingen in het milieu en zorgen ervoor dat de milieuregelgeving wordt nageleefd.",http://data.europa.eu/esco/isco/C2133,Milieudeskundigen
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,socioloog,released,sociologe,"Sociologen richten hun onderzoek op het verklaren van sociaal gedrag en de manier waarop mensen zich als samenleving hebben georganiseerd. Zij onderzoeken en verklaren de manier waarop samenlevingen zich hebben ontwikkeld door hun juridische, politieke en economische systemen en hun cultuuruitingen te beschrijven.",http://data.europa.eu/esco/isco/C2632,"Sociologen, antropologen e.d."
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,biofysicus,released,biotechnoloog | biotechnologe,"Biofysici bestuderen de bestaande relatie tussen levende organismen en natuurkunde. Zij verrichten onderzoek naar levende organismen op basis van de natuurkundige methoden die erop gericht zijn de complexiteit van het leven uit te leggen, patronen te voorspellen en conclusies te trekken over aspecten van het leven. De onderzoeksgebieden van biofysici beslaan DNA, eiwitten, moleculen, cellen en omgevingen.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,bioloog
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,mediawetenschapper,released,,"Mediawetenschappers onderzoeken de rol van de media en hun effect op de samenleving. Zij observeren en documenteren het gebruik van verschillende soorten media zoals kranten, radio en tv en de respons van de maatschappij.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,antropoloog
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,docent verpleegkunde hoger onderwijs,released,lector verpleegkunde | docente verpleegkunde hoger onderwijs,"Docenten in de verpleegkunde zijn docenten, docenten of docenten, en vaak doceert zij studenten die een diploma hoger middelbaar onderwijs hebben behaald op hun eigen gespecialiseerde studiegebied, verpleging, die overwegend academisch van aard is. Zij werken samen met hun universitaire onderzoeksassistenten en universitaire onderwijsassistenten voor het voorbereiden van lezingen en examens, voor het sorteren van papiersoorten en examens, voor het leiden van laboratoriumpraktijken en voor het leiden van toetsings- en feedbacksessies voor de studenten. Zij voeren ook wetenschappelijk onderzoek uit op hun vakgebied in de verpleegkunde, publiceren hun bevindingen en onderhouden contacten met andere universiteitsmedewerkers.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteoroloog,released,specialist meteorologische informatie | technicus meteorologie-oceanografie | technicus meteorologie | meteorologisch onderzoeker | meteoroloog-weersvoorspeller | meteorologe-weersvoorspeller | meteorologisch onderzoekster | meteorologe | klimaatonderzoeker | klimaatonderzoekster | klimatologe | klimatoloog | meteoroloog-oceanograaf | meteorologe-oceanografe | mariene meteorologe | weerkundige | verantwoordelijke meteorologische cel | specialist meteorologie en oceanografie | ingenieur meteorologische wetenschappen | mariene meteoroloog | atmosferisch wetenschapper | operator meteorologisch onderzoek | atmosferisch wetenschapster,"Meteorologen bestuderen klimaatprocessen, meten en voorspellen weerpatronen en verlenen adviesdiensten aan diverse gebruikers van weersinformatie. Zij werken modellen uit voor weersvoorspellingen, ontwikkelen instrumenten om meteorologische gegevens te verzamelen en stellen statistieken en databanken samen.",http://data.europa.eu/esco/isco/C2112,Meteorologen
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,ingenieur elektromagnetische systemen,released,ingenieur elektromagnetische compatibiliteit (EMC) | ingenieur elektromagnetisme,"Ingenieurs op het gebied van elektromagnetische systemen ontwerpen en ontwikkelen elektromagnetische systemen, apparaten en onderdelen, zoals elektromagneten in luidsprekers, elektromagnetische sloten, geleidende magneten in MRI's en magneten in elektrische motoren.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,ingenieur elektriciteit
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,archeoloog,released,oudheidkundige | archeologe,"Archeologen onderzoeken en bestuderen vroegere beschavingen en nederzettingen door het verzamelen en inspecteren van materiële overblijfselen. Zij analyseren en trekken conclusies over een brede waaier van onderwerpen zoals hiërarchische systemen, taal, cultuur en politiek op basis van de studie van objecten, structuren, fossielen, relikwieën en artefacten die door deze volkeren zijn achtergelaten. Archeologen maken gebruik van verschillende interdisciplinaire methoden zoals stratigrafie, typologie, 3D-analyse, wiskunde en modellering.",http://data.europa.eu/esco/isco/C2632,"Sociologen, antropologen e.d."
Occupation,http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930,fysioloog,released,arbeidsfysioloog | sportfysioloog | wetenschappelijk onderzoeker anatomie | wetenschappelijk onderzoeker fysiologie | patholoog-anatoom | anatoom | sportfysiologe | patholoog-anatome | arbeidsfysiologe | wetenschappelijk onderzoekster fysiologie | anatome | wetenschappelijk onderzoekster anatomie,"Fysiologen bestuderen en doen onderzoek naar de werking van verschillende levende organismen, de onderdelen waaruit zij zijn samengesteld, en hun interacties. Zij begrijpen de manier waarop levende systemen reageren op factoren zoals ziekten, lichamelijke activiteit en stress, en gebruiken die informatie om methoden en oplossingen te ontwikkelen om het effect van deze stimuli in levende organismen uit te schakelen.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,bioloog
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist,released,research data scientist | data analyst | research analist | business data scientist,"Data scientists zoeken en interpreteren rijke gegevensbronnen, beheren grote hoeveelheden gegevens, voegen gegevensbronnen samen, zorgen voor de consistentie van datasets en creëren visualisaties om te helpen gegevens te begrijpen. Zij bouwen wiskundige modellen op basis van data, presenteren en communiceren gegevensinzichten en bevindingen aan specialisten en wetenschappers in hun team en, indien nodig, aan een niet-deskundig publiek, en bevelen manieren aan om de data toe te passen.",http://data.europa.eu/esco/isco/C2511,Systeemanalisten
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,docent bedrijfskunde hoger onderwijs,released,docente bedrijfskunde hoger onderwijs | lector bedrijfskunde,"Docenten, docenten en docenten die les geven aan studenten die een diploma hoger middelbaar onderwijs hebben behaald op hun eigen gespecialiseerde studiegebied, werken met een overwegend academisch diploma. Zij werken samen met hun universitaire onderzoeksassistenten en universitaire onderwijsassistenten voor het voorbereiden van colleges en examens, sorteren en examens, en leiden tot toetsings- en feedbacksessies voor de studenten. Zij voeren ook academisch onderzoek uit op hun werkterrein, publiceren hun bevindingen en onderhouden contacten met andere universiteitsmedewerkers.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,docent aardwetenschappen hoger onderwijs,released,docente aardwetenschappen hoger onderwijs | lector aardwetenschap | lector aardwetenschappen | docent aardwetenschap hoger onderwijs | docente geowetenschap hoger onderwijs | docente aardwetenschap hoger onderwijs | docent geowetenschap hoger onderwijs | lector geowetenschap,"Docenten op het gebied van de aardwetenschappen zijn docenten, docenten of docenten die les geven aan studenten die een diploma hoger middelbaar onderwijs hebben behaald op hun eigen gespecialiseerde studiegebied, aardwetenschappen, die overwegend academisch van aard is. Zij werken samen met hun universitaire onderzoeksassistenten en universitaire onderwijsassistenten bij het voorbereiden van colleges en examens, sorteren en examens, en leiden tot toetsings- en feedbacksessies voor de studenten. Zij voeren ook wetenschappelijk onderzoek uit op het gebied van de aardwetenschap, publiceren hun bevindingen en onderhouden contacten met andere universiteitsmedewerkers.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,ingenieur opto-elektronica,released,opto-elektronica-ingenieur,"Ingenieurs op het gebied van opto-elektronica ontwerpen en ontwikkelen opto-elektronische systemen en apparaten, zoals UV-sensoren, fotodioden en leds. Opto-elektrotechniek combineert optische technologie met elektronische technologie bij het ontwerp van deze systemen en apparaten. Zij verrichten onderzoek, voeren analyses uit, testen de apparaten en houden toezicht op het onderzoek.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,elektronica-ingenieur
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,onderzoeker sociale wetenschappen,released,sociale wetenschapper,"Onderzoekers sociale wetenschappen beheren onderzoeksprojecten die gericht zijn op het onderzoeken van en rapporteren over sociale kwesties. Zij doen eerst onderzoek door informatie te verzamelen door middel van interviews, focusgroepen en vragenlijsten; vervolgens organiseren en analyseren zij de verzamelde informatie met behulp van softwarepakketten. Zij analyseren sociale problemen en behoeften en de verschillende manieren en technieken om daarop te reageren.",http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,socioloog
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,docent diergeneeskunde hoger onderwijs,released,lector diergeneeskunde | docente diergeneeskunde hoger onderwijs,"Docenten op het gebied van diergeneeskunde zijn docenten, docenten of docenten, en vaak doceert zij studenten die een diploma hoger middelbaar onderwijs hebben behaald op hun eigen gespecialiseerde studiegebied, diergeneeskunde, die overwegend academisch van aard is. Zij werken samen met hun universitaire onderzoeksassistenten en universitaire onderwijsassistenten voor het voorbereiden van lezingen en examens, voor het sorteren van papiersoorten en examens, voor het leiden van laboratoriumpraktijken en voor het leiden van toetsings- en feedbacksessies voor de studenten. Zij voeren ook academisch onderzoek in hun vakgebied diergeneeskunde uit, publiceren hun bevindingen en onderhouden contacten met andere universiteitsmedewerkers.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,docent tandheelkunde hoger onderwijs,released,docente tandheelkunde hoger onderwijs | lector tandheelkunde,"Docenten in de tandheelkunde zijn hoogleraren, docenten of docenten, en vaak doceert zij studenten die een diploma hoger middelbaar onderwijs hebben behaald op hun eigen gespecialiseerde studiegebied, tandheelkunde, die overwegend academisch van aard is. Zij werken samen met hun universitaire onderzoeksassistenten en universitaire onderwijsassistenten voor het voorbereiden van lezingen en examens, voor het sorteren van papiersoorten en examens, voor het leiden van laboratoriumpraktijken en voor het leiden van toetsings- en feedbacksessies voor de studenten. Zij voeren ook academisch onderzoek uit in hun vakgebied in de tandheelkunde, publiceren hun bevindingen en onderhouden contacten met andere universiteitsmedewerkers.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,klimatoloog,released,klimaatonderzoeker | klimaatonderzoekster | klimatologe | klimaatanalist | klimaatkundige | klimaatwetenschapster | klimaatwetenschapper,"Klimatologen bestuderen de gemiddelde veranderingen in het weer en klimaat vanuit een langetermijnperspectief. Zij onderzoeken en analyseren historische weersomstandigheden om trends in klimatologische omstandigheden te voorspellen, zoals veranderingen in temperatuur, opwarming van de aarde of verandering in regionale weersomstandigheden. Zij gebruiken deze bevindingen voor advies inzake milieubeleid, bouw, landbouwprojecten en maatschappelijke aangelegenheden.",http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteoroloog
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,toxicoloog,released,toxicologe in de industrie | toxicoloog in de industrie | ecotoxicoloog | wetenschappelijk onderzoekster toxicologie | ecotoxicologe | toxicologe | wetenschappelijk onderzoeker toxicologie,"Toxicologen bestuderen de effecten van chemische stoffen of biologische en fysische agentia in levende organismen, met name op het milieu en op de gezondheid van mens en dier. Zij bepalen doses van de blootstelling aan stoffen voor het ontstaan van toxische effecten in omgevingen, mensen en levende organismen, en verrichten ook experimenten op dieren en celculturen.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,bioloog
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,gedragswetenschapper,released,,"Gedragswetenschappers onderzoeken, observeren en beschrijven menselijk gedrag in de samenleving. Zij trekken conclusies over de motieven die mensen aanzetten tot handelen, observeren de verschillende omstandigheden voor verschillende gedragingen en beschrijven verschillende persoonlijkheden. Zij adviseren organisaties en overheidsinstellingen op dit gebied. Zij kunnen ook het gedrag van dieren analyseren.",http://data.europa.eu/esco/isco/C2632,"Sociologen, antropologen e.d."
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,docent journalistiek hoger onderwijs,released,lector journalistiek | docente journalistiek hoger onderwijs,"Docenten en media voor journalistiek en media zijn docenten, docenten of docenten die les geven aan studenten die een diploma hoger middelbaar onderwijs hebben behaald op hun eigen gespecialiseerde studiegebied, journalistiek en media, en die overwegend academisch van aard zijn. Zij werken samen met hun universitaire onderzoeksassistenten en universitaire onderwijsassistenten voor het voorbereiden van lezingen en examens, voor het sorteren van papiersoorten en examens en voor het leiden van toetsings- en feedbacksessies voor de studenten. Zij voeren ook wetenschappelijk onderzoek uit op hun vakgebied journalistiek en media, publiceren hun bevindingen en onderhouden contacten met andere universiteitsmedewerkers.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,docent communicatie hoger onderwijs,released,docent communicatiewetenschappen hoger onderwijs | docent communicatiewetenschap hoger onderwijs | lector communicatiewetenschappen | docente communicatie hoger onderwijs | docente communicatiewetenschappen hoger onderwijs | lector communicatie | docente communicatiewetenschap hoger onderwijs | lector communicatiewetenschap,"De docenten, docenten en docenten die les geven aan studenten die een diploma hoger middelbaar onderwijs hebben behaald op hun gespecialiseerde studiegebied, communicatie, die overwegend academisch van aard is. Zij werken samen met hun universitaire onderzoeksassistenten en universitaire onderwijsassistenten voor het voorbereiden van colleges en examens, sorteren en examens, en leiden tot toetsings- en feedbacksessies voor de studenten. Zij voeren ook wetenschappelijk onderzoek uit op hun communicatiegebied, publiceren hun bevindingen en onderhouden contacten met andere universiteitsmedewerkers.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,oceanograaf,released,meteoroloog-oceanograaf | zeebioloog | oceanologe | mariene bioloog | marien geologe | oceanografisch onderzoekster | oceanoloog | oceanografisch waarneemster | oceanografe | mariene biologe | marien scheikundige | marien geoloog | oceanografisch waarnemer | oceanografisch onderzoeker | zeebiologe,"Oceanografen bestuderen en doen onderzoek naar onderwerpen die verband houden met de zeeën en oceanen. Oceanografen verdelen hun deskundigheid over verschillende takken van onderzoek: fysische oceanografie waarbij het onderzoek zich richt op golven en getijden, chemische oceanografie waarbij het onderzoek betrekking heeft op de chemische samenstelling van de zeewateren, en geologische oceanografie waarbij het onderzoek betrekking heeft op de bodem van de zeeën en de platen.
   ",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geoloog
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,docent architectuur hoger onderwijs,released,docente architectuur hoger onderwijs | lector architectuur | docente bouwkunde hoger onderwijs | docent bouwkunde hoger onderwijs | lector bouwkunde,"Docenten op het gebied van de architectuur zijn docenten, docenten of docenten die de studenten die een diploma hoger middelbaar onderwijs hebben behaald, instrueren in hun eigen gespecialiseerde studiegebied, architectuur, die overwegend academisch van aard is. Zij werken samen met hun universitaire onderzoeksassistenten en universitaire onderwijsassistenten voor het voorbereiden van lezingen en examens, voor het sorteren van papiersoorten en examens en voor het leiden van de controle en het geven van feedback over de studenten. Zij voeren ook academisch onderzoek uit op hun respectieve gebied van architectuur, publiceren hun bevindingen en onderhouden contacten met andere universiteitsmedewerkers.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,ingenieur sensortechniek,released,ingenieur sensortechnologie | inegenieur sensortechnieken,"Ingenieurs op het gebied van sensortechniek ontwerpen en ontwikkelen sensoren, sensorsystemen en producten die voorzien zijn van sensoren. Zij plannen en monitoren de fabricage van deze producten.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,elektronica-ingenieur
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,politicoloog,released,politicologe,"Politicologen bestuderen politiek gedrag en politieke activiteiten en systemen, met inbegrip van de elementen die daaronder vallen. Hun studieobjecten variëren van het ontstaan en de evolutie van verschillende politieke systemen tot actuele zaken als besluitvormingsprocessen, politiek gedrag, politieke trends, de maatschappij en machtsperspectieven. Zij adviseren overheden en institutionele organisaties over bestuurskwesties.",http://data.europa.eu/esco/isco/C2633,"Filosofen, historici en politicologen"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,psycholoog,released,psychologe,"Psychologen bestuderen het gedrag van en de mentale processen bij mensen. Zij verlenen diensten aan mensen die kampen met geestelijke gezondheidsproblemen en levensproblemen zoals rouw, relatieproblemen, huiselijk geweld en seksueel misbruik. Zij bieden ook begeleiding bij geestelijke gezondheidsproblemen zoals eetstoornissen, posttraumatische stressstoornissen en psychosen om mensen te helpen deze problemen te overwinnen en hen aan te zetten tot gezond gedrag.",http://data.europa.eu/esco/isco/C2634,Psychologen
